#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 2.000 EEPS=264
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 128  1.651905  3.8066  3.7345  1.1013  3.3656  2.1752  1.8697  1.8316  1.8725
 129  1.652148  3.8074  3.7339  1.1050  3.3514  2.1636  1.8610  1.8241  1.8660
 130  1.652384  3.8083  3.7335  1.1090  3.3356  2.1508  1.8516  1.8162  1.8589
 131  1.652612  3.8093  3.7333  1.1132  3.3189  2.1372  1.8416  1.8077  1.8516
 132  1.652824  3.8103  3.7329  1.1179  3.3000  2.1217  1.8303  1.7982  1.8434
 133  1.653019  3.8115  3.7326  1.1232  3.2794  2.1046  1.8179  1.7877  1.8343
 134  1.653196  3.8128  3.7322  1.1288  3.2573  2.0862  1.8046  1.7766  1.8247
 135  1.653358  3.8143  3.7321  1.1347  3.2341  2.0669  1.7906  1.7649  1.8147
 136  1.653502  3.8158  3.7320  1.1410  3.2100  2.0466  1.7758  1.7527  1.8043
 137  1.653626  3.8174  3.7319  1.1475  3.1853  2.0255  1.7605  1.7400  1.7933
 138  1.653731  3.8191  3.7317  1.1542  3.1601  2.0038  1.7446  1.7267  1.7819
 139  1.653824  3.8207  3.7316  1.1610  3.1347  1.9818  1.7286  1.7134  1.7705
 140  1.653906  3.8224  3.7317  1.1679  3.1090  1.9595  1.7124  1.7001  1.7591
 141  1.653974  3.8241  3.7316  1.1748  3.0834  1.9370  1.6961  1.6866  1.7475
 142  1.654034  3.8259  3.7315  1.1818  3.0579  1.9145  1.6797  1.6731  1.7359
 143  1.654086  3.8276  3.7316  1.1889  3.0326  1.8920  1.6632  1.6595  1.7244
 144  1.654136  3.8295  3.7320  1.1958  3.0076  1.8697  1.6468  1.6460  1.7128
 145  1.654186  3.8313  3.7325  1.2029  2.9826  1.8472  1.6306  1.6327  1.7016
 146  1.654276  3.8332  3.7353  1.2075  2.9638  1.8309  1.6202  1.6253  1.6962
 147  1.654319  3.8322  3.7386  1.2005  2.9849  1.8512  1.6374  1.6409  1.7108
 148  1.654339  3.8310  3.7407  1.1931  3.0079  1.8727  1.6547  1.6561  1.7246
 149  1.654360  3.8297  3.7425  1.1860  3.0308  1.8941  1.6716  1.6710  1.7379
 150  1.654379  3.8281  3.7437  1.1790  3.0544  1.9159  1.6886  1.6855  1.7509
 151  1.654400  3.8265  3.7441  1.1718  3.0793  1.9382  1.7052  1.6995  1.7630
 152  1.654426  3.8244  3.7428  1.1648  3.1064  1.9616  1.7214  1.7122  1.7735
 153  1.654497  3.8198  3.7271  1.1621  3.1368  1.9815  1.7251  1.7086  1.7646
 154  1.654559  3.8168  3.7083  1.1685  3.1382  1.9743  1.7072  1.6857  1.7382
 155  1.654622  3.8143  3.6919  1.1753  3.1358  1.9644  1.6888  1.6634  1.7131
 156  1.654719  3.8113  3.6738  1.1815  3.1389  1.9576  1.6713  1.6413  1.6874
 157  1.654880  3.8078  3.6547  1.1865  3.1506  1.9566  1.6569  1.6213  1.6632
 158  1.655101  3.8043  3.6383  1.1892  3.1669  1.9612  1.6487  1.6073  1.6454
 159  1.655353  3.8015  3.6262  1.1901  3.1846  1.9680  1.6452  1.5994  1.6343
 160  1.655615  3.7993  3.6173  1.1901  3.2027  1.9749  1.6442  1.5950  1.6274
 161  1.655878  3.7974  3.6102  1.1898  3.2210  1.9810  1.6443  1.5927  1.6230
 162  1.656535  3.7939  3.5981  1.1880  3.2580  1.9948  1.6477  1.5913  1.6180
 163  1.657182  3.7905  3.5874  1.1853  3.2917  2.0121  1.6548  1.5931  1.6160
 164  1.657823  3.7872  3.5780  1.1816  3.3271  2.0330  1.6642  1.5970  1.6160
 165  1.658449  3.7838  3.5695  1.1768  3.3720  2.0583  1.6753  1.6027  1.6177
 166  1.659054  3.7804  3.5619  1.1708  3.4262  2.0884  1.6894  1.6112  1.6220
 167  1.659629  3.7768  3.5556  1.1631  3.4854  2.1225  1.7081  1.6241  1.6308
 168  1.660164  3.7731  3.5502  1.1537  3.5507  2.1612  1.7314  1.6416  1.6439
 169  1.660654  3.7694  3.5463  1.1429  3.6214  2.2043  1.7590  1.6632  1.6611
 170  1.661099  3.7657  3.5440  1.1307  3.6961  2.2510  1.7903  1.6886  1.6820
 171  1.661501  3.7622  3.5430  1.1175  3.7739  2.3001  1.8245  1.7168  1.7060
 172  1.661865  3.7587  3.5433  1.1036  3.8544  2.3514  1.8608  1.7475  1.7325
 173  1.662200  3.7554  3.5443  1.0891  3.9370  2.4041  1.8988  1.7800  1.7608
 174  1.662511  3.7521  3.5461  1.0741  4.0214  2.4577  1.9381  1.8139  1.7905
 175  1.662808  3.7487  3.5481  1.0589  4.1077  2.5123  1.9782  1.8485  1.8212
 176  1.663096  3.7453  3.5500  1.0437  4.1962  2.5679  2.0189  1.8838  1.8523
 177  1.663386  3.7419  3.5517  1.0285  4.2871  2.6242  2.0600  1.9192  1.8833
 178  1.663685  3.7383  3.5524  1.0134  4.3826  2.6816  2.1011  1.9543  1.9139
 179  1.664009  3.7344  3.5512  0.9989  4.4843  2.7403  2.1419  1.9886  1.9429
 180  1.664395  3.7299  3.5462  0.9857  4.5952  2.7997  2.1806  2.0196  1.9680
 181  1.664911  3.7242  3.5323  0.9773  4.7157  2.8549  2.2099  2.0393  1.9801
 182  1.665389  3.7195  3.5114  0.9795  4.7957  2.8784  2.2121  2.0333  1.9677
 183  1.665840  3.7158  3.4857  0.9902  4.8388  2.8755  2.1919  2.0065  1.9357
 184  1.666249  3.7128  3.4582  1.0059  4.8557  2.8556  2.1586  1.9679  1.8929
 185  1.666629  3.7103  3.4302  1.0240  4.8585  2.8270  2.1187  1.9235  1.8449
 186  1.666986  3.7083  3.4029  1.0435  4.8476  2.7912  2.0740  1.8752  1.7937
 187  1.667330  3.7065  3.3757  1.0638  4.8319  2.7523  2.0276  1.8254  1.7414
 188  1.667666  3.7049  3.3487  1.0844  4.8129  2.7115  1.9797  1.7746  1.6881
 189  1.667994  3.7035  3.3220  1.1056  4.7876  2.6679  1.9302  1.7225  1.6340
 190  1.668320  3.7020  3.2950  1.1267  4.7650  2.6256  1.8812  1.6707  1.5799
 191  1.668641  3.7007  3.2686  1.1480  4.7369  2.5811  1.8311  1.6182  1.5253
 192  1.668960  3.6994  3.2422  1.1695  4.7080  2.5364  1.7808  1.5655  1.4707
 193  1.669280  3.6982  3.2160  1.1908  4.6772  2.4920  1.7308  1.5131  1.4162
 194  1.669597  3.6972  3.1901  1.2123  4.6434  2.4463  1.6802  1.4603  1.3616
 195  1.669915  3.6959  3.1640  1.2336  4.6123  2.4021  1.6304  1.4081  1.3072
 196  1.670233  3.6947  3.1380  1.2549  4.5807  2.3576  1.5805  1.3558  1.2530
 197  1.670549  3.6936  3.1123  1.2763  4.5466  2.3122  1.5301  1.3033  1.1987
 198  1.670868  3.6924  3.0863  1.2975  4.5160  2.2682  1.4807  1.2515  1.1448
 199  1.671186  3.6913  3.0607  1.3187  4.4840  2.2238  1.4310  1.1995  1.0910
 200  1.671503  3.6902  3.0351  1.3399  4.4527  2.1793  1.3813  1.1476  1.0372
 201  1.671821  3.6890  3.0095  1.3610  4.4242  2.1355  1.3321  1.0961  0.9837
 202  1.672138  3.6880  2.9843  1.3821  4.3937  2.0909  1.2826  1.0444  0.9304
 203  1.672459  3.6867  2.9585  1.4030  4.3689  2.0487  1.2344  0.9935  0.8774
 204  1.672777  3.6855  2.9329  1.4240  4.3426  2.0058  1.1858  0.9425  0.8244
 205  1.673096  3.6844  2.9075  1.4448  4.3168  1.9631  1.1375  0.8916  0.7717
 206  1.673415  3.6832  2.8822  1.4657  4.2903  1.9201  1.0892  0.8408  0.7190
 207  1.673736  3.6820  2.8567  1.4863  4.2667  1.8785  1.0414  0.7905  0.6667
 208  1.674054  3.6808  2.8314  1.5071  4.2421  1.8364  0.9936  0.7401  0.6144
 209  1.674374  3.6797  2.8063  1.5277  4.2168  1.7942  0.9458  0.6898  0.5622
 210  1.674691  3.6784  2.7806  1.5485  4.1946  1.7531  0.8985  0.6397  0.5101
 211  1.675009  3.6772  2.7554  1.5691  4.1713  1.7117  0.8511  0.5896  0.4580
 212  1.675325  3.6760  2.7299  1.5898  4.1485  1.6703  0.8035  0.5394  0.4058
 213  1.675641  3.6748  2.7043  1.6104  4.1272  1.6297  0.7565  0.4895  0.3538
 214  1.675956  3.6736  2.6788  1.6312  4.1050  1.5886  0.7093  0.4395  0.3017
 215  1.676269  3.6723  2.6533  1.6518  4.0835  1.5478  0.6622  0.3895  0.2497
 216  1.676581  3.6711  2.6276  1.6726  4.0626  1.5072  0.6153  0.3396  0.1976
 217  1.676644  3.6708  2.6225  1.6768  4.0583  1.4989  0.6058  0.3296  0.1871
 218  1.676706  3.6706  2.6173  1.6809  4.0536  1.4905  0.5962  0.3194  0.1765
