#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 3.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 115  1.450910  3.7909  3.8693  0.8473  4.1079  2.8617  2.5029  2.4398  2.4634
 116  1.451185  3.7912  3.8684  0.8493  4.1022  2.8560  2.4975  2.4347  2.4587
 117  1.451461  3.7914  3.8675  0.8514  4.0966  2.8504  2.4922  2.4299  2.4541
 118  1.451734  3.7918  3.8665  0.8536  4.0900  2.8440  2.4860  2.4242  2.4488
 119  1.452005  3.7921  3.8656  0.8559  4.0836  2.8376  2.4799  2.4186  2.4436
 120  1.452271  3.7924  3.8645  0.8585  4.0759  2.8302  2.4729  2.4121  2.4375
 121  1.452532  3.7929  3.8632  0.8615  4.0672  2.8217  2.4648  2.4049  2.4307
 122  1.452790  3.7933  3.8620  0.8648  4.0563  2.8123  2.4564  2.3972  2.4237
 123  1.453042  3.7938  3.8608  0.8681  4.0442  2.8025  2.4482  2.3896  2.4167
 124  1.453288  3.7944  3.8595  0.8718  4.0304  2.7915  2.4389  2.3814  2.4090
 125  1.453525  3.7951  3.8582  0.8757  4.0153  2.7796  2.4292  2.3725  2.4009
 126  1.453754  3.7958  3.8568  0.8799  3.9986  2.7667  2.4187  2.3631  2.3922
 127  1.453967  3.7965  3.8552  0.8846  3.9805  2.7527  2.4074  2.3529  2.3829
 128  1.454158  3.7973  3.8534  0.8898  3.9603  2.7373  2.3949  2.3416  2.3725
 129  1.454334  3.7982  3.8515  0.8952  3.9389  2.7210  2.3818  2.3299  2.3616
 130  1.454492  3.7991  3.8496  0.9008  3.9164  2.7039  2.3682  2.3176  2.3503
 131  1.454636  3.8001  3.8475  0.9067  3.8934  2.6861  2.3541  2.3049  2.3387
 132  1.454764  3.8010  3.8456  0.9127  3.8710  2.6679  2.3394  2.2917  2.3266
 133  1.454877  3.8020  3.8433  0.9188  3.8487  2.6494  2.3244  2.2782  2.3141
 134  1.454973  3.8030  3.8409  0.9251  3.8261  2.6305  2.3090  2.2643  2.3013
 135  1.455059  3.8039  3.8383  0.9315  3.8036  2.6114  2.2934  2.2504  2.2885
 136  1.455134  3.8049  3.8356  0.9379  3.7811  2.5923  2.2778  2.2362  2.2753
 137  1.455199  3.8058  3.8328  0.9444  3.7589  2.5730  2.2621  2.2219  2.2621
 138  1.455258  3.8065  3.8298  0.9509  3.7368  2.5539  2.2463  2.2076  2.2487
 139  1.455314  3.8074  3.8267  0.9573  3.7147  2.5347  2.2305  2.1932  2.2353
 140  1.455366  3.8082  3.8236  0.9639  3.6927  2.5157  2.2148  2.1788  2.2219
 141  1.455416  3.8091  3.8203  0.9705  3.6707  2.4963  2.1988  2.1641  2.2081
 142  1.455505  3.8100  3.8174  0.9770  3.6487  2.4771  2.1831  2.1499  2.1949
 143  1.455567  3.8096  3.8215  0.9712  3.6655  2.4929  2.1972  2.1634  2.2079
 144  1.455596  3.8089  3.8260  0.9640  3.6882  2.5134  2.2150  2.1799  2.2236
 145  1.455620  3.8082  3.8295  0.9577  3.7086  2.5317  2.2305  2.1943  2.2373
 146  1.455646  3.8073  3.8326  0.9513  3.7296  2.5502  2.2459  2.2084  2.2503
 147  1.455676  3.8063  3.8352  0.9444  3.7539  2.5709  2.2625  2.2233  2.2641
 148  1.455751  3.8034  3.8275  0.9405  3.7847  2.5903  2.2710  2.2272  2.2646
 149  1.455820  3.8012  3.8131  0.9460  3.7883  2.5835  2.2564  2.2091  2.2440
 150  1.455894  3.7994  3.7990  0.9528  3.7867  2.5720  2.2382  2.1882  2.2211
 151  1.456020  3.7971  3.7844  0.9585  3.7938  2.5645  2.2226  2.1696  2.2001
 152  1.456231  3.7947  3.7709  0.9622  3.8074  2.5623  2.2125  2.1560  2.1838
 153  1.456491  3.7926  3.7610  0.9640  3.8188  2.5632  2.2082  2.1488  2.1743
 154  1.456767  3.7911  3.7545  0.9646  3.8233  2.5650  2.2080  2.1461  2.1700
 155  1.457047  3.7899  3.7496  0.9650  3.8281  2.5674  2.2084  2.1446  2.1670
 156  1.457329  3.7889  3.7455  0.9651  3.8332  2.5700  2.2090  2.1434  2.1646
 157  1.457610  3.7880  3.7419  0.9651  3.8385  2.5726  2.2095  2.1425  2.1625
 158  1.457893  3.7871  3.7386  0.9651  3.8443  2.5754  2.2101  2.1416  2.1606
 159  1.458174  3.7863  3.7354  0.9649  3.8506  2.5784  2.2106  2.1409  2.1589
 160  1.458457  3.7855  3.7324  0.9649  3.8591  2.5819  2.2108  2.1397  2.1568
 161  1.458738  3.7847  3.7295  0.9646  3.8699  2.5860  2.2106  2.1382  2.1542
 162  1.459677  3.7820  3.7199  0.9636  3.9102  2.6014  2.2101  2.1335  2.1463
 163  1.460586  3.7790  3.7108  0.9611  3.9592  2.6218  2.2133  2.1320  2.1413
 164  1.461467  3.7758  3.7022  0.9571  4.0077  2.6455  2.2226  2.1364  2.1418
 165  1.462302  3.7724  3.6946  0.9512  4.0610  2.6739  2.2375  2.1458  2.1473
 166  1.463076  3.7688  3.6881  0.9436  4.1227  2.7081  2.2573  2.1598  2.1571
 167  1.463777  3.7651  3.6830  0.9342  4.1918  2.7477  2.2814  2.1782  2.1710
 168  1.464406  3.7614  3.6792  0.9235  4.2662  2.7914  2.3096  2.2002  2.1886
 169  1.464971  3.7578  3.6767  0.9117  4.3448  2.8379  2.3406  2.2254  2.2092
 170  1.465483  3.7542  3.6751  0.8991  4.4275  2.8861  2.3736  2.2528  2.2324
 171  1.465955  3.7507  3.6741  0.8861  4.5129  2.9355  2.4082  2.2819  2.2572
 172  1.466401  3.7472  3.6734  0.8728  4.5999  2.9865  2.4439  2.3121  2.2831
 173  1.466832  3.7437  3.6728  0.8593  4.6885  3.0389  2.4806  2.3428  2.3093
 174  1.467261  3.7399  3.6718  0.8459  4.7801  3.0923  2.5176  2.3738  2.3356
 175  1.467704  3.7361  3.6699  0.8326  4.8765  3.1469  2.5549  2.4046  2.3615
 176  1.468187  3.7319  3.6660  0.8198  4.9796  3.2029  2.5919  2.4346  2.3861
 177  1.468770  3.7271  3.6584  0.8082  5.0933  3.2607  2.6273  2.4618  2.4068
 178  1.469506  3.7214  3.6417  0.8028  5.2086  3.3089  2.6495  2.4744  2.4120
 179  1.470254  3.7164  3.6177  0.8063  5.2957  3.3330  2.6499  2.4658  2.3961
 180  1.470916  3.7126  3.5926  0.8164  5.3425  3.3327  2.6320  2.4410  2.3661
 181  1.471456  3.7099  3.5694  0.8294  5.3595  3.3175  2.6050  2.4092  2.3305
 182  1.472067  3.7074  3.5412  0.8479  5.3615  3.2878  2.5642  2.3639  2.2816
 183  1.472640  3.7055  3.5135  0.8679  5.3510  3.2511  2.5189  2.3149  2.2297
 184  1.473192  3.7038  3.4863  0.8886  5.3330  3.2108  2.4713  2.2643  2.1765
 185  1.473730  3.7023  3.4594  0.9096  5.3097  3.1681  2.4224  2.2126  2.1226
 186  1.474261  3.7009  3.4329  0.9308  5.2835  3.1244  2.3728  2.1604  2.0684
 187  1.474785  3.6997  3.4068  0.9521  5.2540  3.0796  2.3227  2.1080  2.0141
 188  1.475309  3.6985  3.3810  0.9735  5.2220  3.0346  2.2726  2.0557  1.9599
 189  1.475831  3.6974  3.3555  0.9948  5.1883  2.9893  2.2225  2.0034  1.9058
 190  1.476352  3.6963  3.3300  1.0159  5.1549  2.9444  2.1727  1.9514  1.8520
 191  1.476876  3.6953  3.3048  1.0370  5.1209  2.8996  2.1232  1.8998  1.7985
 192  1.477397  3.6944  3.2804  1.0580  5.0841  2.8536  2.0732  1.8480  1.7452
 193  1.477920  3.6934  3.2559  1.0788  5.0491  2.8086  2.0238  1.7968  1.6924
 194  1.478442  3.6924  3.2315  1.0996  5.0144  2.7638  1.9748  1.7459  1.6398
 195  1.478966  3.6915  3.2072  1.1203  4.9799  2.7193  1.9261  1.6952  1.5876
 196  1.479492  3.6905  3.1831  1.1407  4.9469  2.6755  1.8778  1.6450  1.5357
