objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272357099,133.025229234142,11.8498088191195,23.13499,22.81033,22.06253,22.10738,21.64675,0.3507619,0.1539313,0.1031632,0.1397283,0.2748928
1237671262272357098,133.021483917094,11.8505604330584,24.36245,23.36595,21.57528,20.16605,19.45212,0.669696,0.2516446,0.0693433,0.02939951,0.04867145
1237671262272357097,133.023246628901,11.8498478425974,20.60225,19.3812,18.82285,18.63559,18.52747,0.05059369,0.01169244,0.009563698,0.01057224,0.02352477
1237671262272357073,133.005762295347,11.8076052325356,23.94385,24.99253,24.44129,22.84304,22.8229,0.5389836,0.5981017,0.5493387,0.2431614,0.414011
1237671262272357072,133.002909992609,11.8056750784049,24.94413,23.29805,23.38063,23.40896,22.67876,0.5852696,0.2265005,0.3000925,0.3618102,0.4120481
1237671262272357071,133.001665844076,11.8056652572121,22.94258,25.62469,24.35034,23.38022,22.81435,0.3289357,0.6075201,0.6221982,0.4237832,0.5016573
1237671262272357069,133.001564733589,11.803766328787,19.542,17.87328,17.21306,16.97956,16.87014,0.02635349,0.005637779,0.004979569,0.00560862,0.009203608
1237671262272357063,132.996248804587,11.81940308134,21.21897,19.9931,19.55831,19.40207,19.41423,0.07689618,0.01687415,0.01461331,0.01631208,0.04420196
1237671262272357036,132.996863706706,11.7247896961342,21.2148,18.55914,17.15914,16.5103,16.13915,0.07634546,0.007654592,0.004982564,0.005201468,0.006851486
1237671262272357034,132.981919575886,11.7786113133776,22.4898,19.68072,18.21643,17.46579,17.04708,0.1936774,0.0139472,0.007145866,0.006395067,0.009944428
1237671262272357032,132.978203536123,11.7965900107737,25.18118,23.85854,22.53206,22.19217,21.58314,0.5266449,0.3427111,0.145904,0.137709,0.2438942
1237671262272357031,132.977098358476,11.7960528970714,20.05095,19.10543,18.79552,18.69534,18.63202,0.03526751,0.01000273,0.009431184,0.01080416,0.02507092
1237671262272357023,132.968982842576,11.821980942578,20.5785,18.0306,16.61786,15.85183,15.43432,0.04875181,0.006026157,0.004279865,0.004586467,0.005487443
1237671262272357022,132.967911485953,11.821002051231,22.83035,20.19907,18.63998,17.65514,17.09805,0.2585342,0.01929925,0.008709273,0.006823178,0.01025002
